Variable Name,Missing Value Count,Missing Value Percent
RecordNo,0,0.0
age,0,0.0
employment_status,0,0.0
endtime,0,0.0
gender,0,0.0
household_children,0,0.0
household_size,0,0.0
i12_health_1,0,0.0
i12_health_11,0,0.0
i12_health_12,0,0.0
i12_health_13,0,0.0
i12_health_14,0,0.0
i12_health_15,0,0.0
i12_health_16,0,0.0
i12_health_2,0,0.0
i12_health_3,0,0.0
i12_health_4,0,0.0
i12_health_5,0,0.0
i12_health_6,0,0.0
i12_health_7,0,0.0
i12_health_8,0,0.0
i2_health,0,0.0
qweek,0,0.0
state,0,0.0
weight,0,0.0
i11_health,966,2.846199175014732
i9_health,966,2.846199175014732
WCRex2,4027,11.865055981143193
cantril_ladder,4976,14.6611667648792
i13_health,6021,17.740129640542133
i7a_health,6021,17.740129640542133
i10_health,6987,20.586328815556865
WCRex1,7950,23.42368886269888
d1_health_1,9202,27.112551561579256
d1_health_10,9202,27.112551561579256
d1_health_11,9202,27.112551561579256
d1_health_12,9202,27.112551561579256
d1_health_13,9202,27.112551561579256
d1_health_2,9202,27.112551561579256
d1_health_3,9202,27.112551561579256
d1_health_4,9202,27.112551561579256
d1_health_5,9202,27.112551561579256
d1_health_6,9202,27.112551561579256
d1_health_7,9202,27.112551561579256
d1_health_8,9202,27.112551561579256
d1_health_9,9202,27.112551561579256
d1_health_98,9202,27.112551561579256
d1_health_99,9202,27.112551561579256
i12_health_22,9947,29.30760164997054
i12_health_23,9947,29.30760164997054
i12_health_25,9947,29.30760164997054
r1_1,9947,29.30760164997054
r1_2,9947,29.30760164997054
r1_6,9947,29.30760164997054
r1_7,9947,29.30760164997054
i1_health,10940,32.23335297583972
i5_health_1,12373,36.455509723040656
i5_health_2,12373,36.455509723040656
i5_health_3,12373,36.455509723040656
i5_health_4,12373,36.455509723040656
i5_health_5,12373,36.455509723040656
i5_health_99,12373,36.455509723040656
PHQ4_1,14026,41.32586918090748
PHQ4_3,14044,41.37890394814379
PHQ4_4,14047,41.3877430760165
PHQ4_2,14057,41.417206835592225
i12_health_26,15031,44.28697701826753
i12_health_17,16958,49.96464348850914
i12_health_18,16958,49.96464348850914
i12_health_19,16958,49.96464348850914
i12_health_20,16958,49.96464348850914
Soc1_1,16982,50.03535651149087
Soc1_2,16982,50.03535651149087
Soc1_3,16982,50.03535651149087
i12_health_27,16982,50.03535651149087
i12_health_28,16982,50.03535651149087
i12_health_29,16982,50.03535651149087
r1_8,16982,50.03535651149087
r1_9,16982,50.03535651149087
travel1_1,16982,50.03535651149087
travel1_2,16982,50.03535651149087
travel1_3,16982,50.03535651149087
travel1_4,16982,50.03535651149087
travel1_99,16982,50.03535651149087
vac,16982,50.03535651149087
vac2_1,16982,50.03535651149087
vac2_2,16982,50.03535651149087
vac2_3,16982,50.03535651149087
vac2_7,16982,50.03535651149087
vac7,16982,50.03535651149087
i3_health,17250,50.824985268120216
i4_health,17547,51.70005892751915
i12_health_9,18620,54.86152032999411
i14_health_1,18620,54.86152032999411
i14_health_10,18620,54.86152032999411
i14_health_2,18620,54.86152032999411
i14_health_3,18620,54.86152032999411
i14_health_4,18620,54.86152032999411
i14_health_5,18620,54.86152032999411
i14_health_6,18620,54.86152032999411
i14_health_7,18620,54.86152032999411
i14_health_8,18620,54.86152032999411
i14_health_9,18620,54.86152032999411
i14_health_96,18620,54.86152032999411
i14_health_98,18620,54.86152032999411
i14_health_99,18620,54.86152032999411
WCRV_4,20985,61.82969946965233
i12_health_10,22030,64.90866234531526
i12_health_24,22757,67.05067766647024
CORE_B2_4,22936,67.57807896287567
vac_booster,23000,67.76664702416029
i14_health_11,24053,70.8691809074838
vac8,25149,74.09840895698291
i12_health_21,26905,79.27224513847968
r1_3,26905,79.27224513847968
r1_4,26905,79.27224513847968
r1_5,26905,79.27224513847968
vac9,27289,80.4036535061874
vac2_6,27666,81.5144372421921
vac_1,27666,81.5144372421921
combi_vac,27919,82.25987035945786
r1_10,27922,82.26870948733058
Soc2_1,28418,83.73011196228639
Soc2_2,28418,83.73011196228639
Soc2_3,28418,83.73011196228639
Soc2_4,28418,83.73011196228639
Soc2_5,28418,83.73011196228639
Soc2_6,28418,83.73011196228639
vac10_1,29278,86.26399528579847
vac10_2,29278,86.26399528579847
vac10_3,29278,86.26399528579847
vac10_4,29278,86.26399528579847
vac10_5,29278,86.26399528579847
vac10_99,29278,86.26399528579847
vac12_1,29678,87.44254566882734
vac12_10,29678,87.44254566882734
vac12_11,29678,87.44254566882734
vac12_2,29678,87.44254566882734
vac12_3,29678,87.44254566882734
vac12_4,29678,87.44254566882734
vac12_5,29678,87.44254566882734
vac12_6,29678,87.44254566882734
vac12_7,29678,87.44254566882734
vac12_8,29678,87.44254566882734
vac12_9,29678,87.44254566882734
vac12_96,29678,87.44254566882734
m2,29920,88.15556865055981
vac11,29993,88.37065409546258
i6_health,30206,88.99823217442545
m3,30280,89.2162639952858
m4_1,30669,90.36240424278138
m4_2,30669,90.36240424278138
m4_3,30669,90.36240424278138
m4_4,30669,90.36240424278138
m4_96,30669,90.36240424278138
m4_99,30669,90.36240424278138
m7_1,30669,90.36240424278138
m7_10,30669,90.36240424278138
m7_11,30669,90.36240424278138
m7_2,30669,90.36240424278138
m7_3,30669,90.36240424278138
m7_4,30669,90.36240424278138
m7_5,30669,90.36240424278138
m7_6,30669,90.36240424278138
m7_8,30669,90.36240424278138
m7_9,30669,90.36240424278138
vac_3,30717,90.50383028874485
vac12_12,31208,91.9505008839128
vac12_13,31208,91.9505008839128
i14_health_other,31229,92.0123747790218
vac10_8,31764,93.58868591632292
child_age_1,31862,93.877430760165
child_age_2,31862,93.877430760165
child_age_3,31862,93.877430760165
child_age_4,31862,93.877430760165
child_age_5,31862,93.877430760165
av3,31928,94.07189157336477
vac3_1,31928,94.07189157336477
vac3_2,31928,94.07189157336477
vac3_3,31928,94.07189157336477
vac3_4,31928,94.07189157336477
vac3_5,31928,94.07189157336477
vac3_6,31928,94.07189157336477
vac3_7,31928,94.07189157336477
vac3_8,31928,94.07189157336477
vac3_9,31928,94.07189157336477
vac5,31928,94.07189157336477
inputstate,31936,94.09546258102533
m7_other,31986,94.24278137890396
vac14_1,32161,94.75839717147907
vac14_2,32161,94.75839717147907
vac14_3,32161,94.75839717147907
i5a_health,32230,94.96169711255156
i7b_health,32423,95.53034767236299
i8_health,32429,95.54802592810843
childvac,32660,96.22863877430761
ct1_1,32870,96.84737772539776
ct1_2,32870,96.84737772539776
ct2,32870,96.84737772539776
ct4,32870,96.84737772539776
ct6_1,32870,96.84737772539776
ct6_2,32870,96.84737772539776
ct6_3,32870,96.84737772539776
ct6_4,32870,96.84737772539776
ct6_5,32870,96.84737772539776
ct6_6,32870,96.84737772539776
ct6_96,32870,96.84737772539776
ct6_99,32870,96.84737772539776
ct7_1,32870,96.84737772539776
ct7_2,32870,96.84737772539776
ct7_3,32870,96.84737772539776
ct8_1,32870,96.84737772539776
ct8_2,32870,96.84737772539776
ct8_3,32870,96.84737772539776
ct8_4,32870,96.84737772539776
ct8_5,32870,96.84737772539776
ct8_6,32870,96.84737772539776
ct8_99,32870,96.84737772539776
Vent_1,32930,97.0241602828521
Vent_2,32930,97.0241602828521
Vent_3,32930,97.0241602828521
WAH4,32930,97.0241602828521
m1_1,32934,97.03594578668238
m1_2,32934,97.03594578668238
m1_3,32934,97.03594578668238
m1_4,32934,97.03594578668238
v1,32934,97.03594578668238
v4_1,32934,97.03594578668238
v4_2,32934,97.03594578668238
v4_3,32934,97.03594578668238
v4_4,32934,97.03594578668238
v4_5,32934,97.03594578668238
v4_96,32934,97.03594578668238
v4_99,32934,97.03594578668238
ct1b_1,32951,97.08603417796111
ct1b_10,32951,97.08603417796111
ct1b_11,32951,97.08603417796111
ct1b_2,32951,97.08603417796111
ct1b_3,32951,97.08603417796111
ct1b_4,32951,97.08603417796111
ct1b_5,32951,97.08603417796111
ct1b_6,32951,97.08603417796111
ct1b_7,32951,97.08603417796111
ct1b_8,32951,97.08603417796111
ct1b_9,32951,97.08603417796111
ct1b_96,32951,97.08603417796111
ct1b_99,32951,97.08603417796111
ox1_1,32955,97.09781968179139
ox1_2,32955,97.09781968179139
ox3_1,32955,97.09781968179139
ox3_2,32955,97.09781968179139
ox3_3,32955,97.09781968179139
ox3_4,32955,97.09781968179139
ox3_5,32955,97.09781968179139
ox3_6,32955,97.09781968179139
ox5_1,32955,97.09781968179139
ox5_2,32955,97.09781968179139
ox6,32955,97.09781968179139
disability,32974,97.15380082498527
w1,32974,97.15380082498527
w2,32974,97.15380082498527
w3,32974,97.15380082498527
w6,32974,97.15380082498527
w9_1,32974,97.15380082498527
w9_2,32974,97.15380082498527
w9_3,32974,97.15380082498527
w9_4,32974,97.15380082498527
w9_5,32974,97.15380082498527
w4_1,33006,97.24808485562758
w4_10,33006,97.24808485562758
w4_11,33006,97.24808485562758
w4_2,33006,97.24808485562758
w4_3,33006,97.24808485562758
w4_4,33006,97.24808485562758
w4_5,33006,97.24808485562758
w4_6,33006,97.24808485562758
w4_7,33006,97.24808485562758
w4_8,33006,97.24808485562758
w4_9,33006,97.24808485562758
w4_99,33006,97.24808485562758
w7,33008,97.25397760754272
Soc2_open,33037,97.33942251031232
m8_1,33179,97.75780789628756
m8_2,33179,97.75780789628756
m8_3,33179,97.75780789628756
m8_4,33179,97.75780789628756
m8_5,33179,97.75780789628756
m8_6,33179,97.75780789628756
m8_7,33179,97.75780789628756
m8_8,33179,97.75780789628756
m8_96,33179,97.75780789628756
m8_99,33179,97.75780789628756
m9_1,33179,97.75780789628756
m9_2,33179,97.75780789628756
m9_3,33179,97.75780789628756
m9_4,33179,97.75780789628756
m9_5,33179,97.75780789628756
m9_6,33179,97.75780789628756
m9_7,33179,97.75780789628756
vac13,33196,97.8078962875663
m10,33241,97.94048320565705
m11,33241,97.94048320565705
ox4_2_1,33279,98.05244549204478
ox4_1_1,33286,98.07307012374778
ox4_6_1,33292,98.09074837949322
ox4_10_1,33293,98.0936947554508
ox4_3_1,33295,98.09958750736594
ox4_4_1,33295,98.09958750736594
ox4_5_1,33295,98.09958750736594
ox4_7_1,33295,98.09958750736594
ox4_9_1,33296,98.10253388332352
ox4_8_1,33297,98.10548025928108
ox4_11_1,33302,98.12021213906894
vac12_other,33408,98.4325279905716
WAH5,33429,98.49440188568062
WAH_1,33472,98.62109605185621
WAH_2,33472,98.62109605185621
WAH_3,33472,98.62109605185621
w4b,33529,98.78903948143784
WAH6,33584,98.95109015910431
m6_1,33633,99.09546258102534
m6_2,33633,99.09546258102534
m6_3,33633,99.09546258102534
m6_4,33633,99.09546258102534
m6_5,33633,99.09546258102534
m6_6,33633,99.09546258102534
m6_7,33633,99.09546258102534
m6_8,33633,99.09546258102534
m6_96,33633,99.09546258102534
vac3_other,33665,99.18974661166764
ct5_1,33674,99.2162639952858
ct5_2,33674,99.2162639952858
ct5_3,33674,99.2162639952858
ct5_4,33674,99.2162639952858
ct5_5,33674,99.2162639952858
ct5_6,33674,99.2162639952858
ct5_7,33674,99.2162639952858
ct5_8,33674,99.2162639952858
ct5_96,33674,99.2162639952858
ct5_99,33674,99.2162639952858
m14_1,33685,99.2486741308191
m14_10,33685,99.2486741308191
m14_11,33685,99.2486741308191
m14_2,33685,99.2486741308191
m14_3,33685,99.2486741308191
m14_4,33685,99.2486741308191
m14_5,33685,99.2486741308191
m14_6,33685,99.2486741308191
m14_7,33685,99.2486741308191
m14_8,33685,99.2486741308191
m14_9,33685,99.2486741308191
m14_96,33685,99.2486741308191
m14_99,33685,99.2486741308191
m5_2,33688,99.25751325869182
m12_1,33695,99.27813789039482
m12_2,33695,99.27813789039482
m12_3,33695,99.27813789039482
m12_4,33695,99.27813789039482
m12_5,33695,99.27813789039482
m12_6,33695,99.27813789039482
m12_7,33695,99.27813789039482
m12_8,33695,99.27813789039482
m12_96,33695,99.27813789039482
m12_99,33695,99.27813789039482
m13_1,33695,99.27813789039482
m13_10,33695,99.27813789039482
m13_11,33695,99.27813789039482
m13_2,33695,99.27813789039482
m13_3,33695,99.27813789039482
m13_4,33695,99.27813789039482
m13_5,33695,99.27813789039482
m13_6,33695,99.27813789039482
m13_8,33695,99.27813789039482
m13_9,33695,99.27813789039482
ct3,33712,99.32822628167354
m5_1,33713,99.33117265763111
m4_other,33732,99.38715380082499
child_education_1,33758,99.46375957572187
child_education_2,33758,99.46375957572187
child_education_3,33758,99.46375957572187
child_education_4,33758,99.46375957572187
WAH7_1,33778,99.5226870948733
WAH7_2,33778,99.5226870948733
WAH7_3,33778,99.5226870948733
WAH7_4,33778,99.5226870948733
WAH7_5,33778,99.5226870948733
WAH7_6,33778,99.5226870948733
WAH7_7,33778,99.5226870948733
WAH7_99,33778,99.5226870948733
w5_1,33782,99.53447259870359
w5_10,33782,99.53447259870359
w5_11,33782,99.53447259870359
w5_12,33782,99.53447259870359
w5_13,33782,99.53447259870359
w5_14,33782,99.53447259870359
w5_15,33782,99.53447259870359
w5_16,33782,99.53447259870359
w5_2,33782,99.53447259870359
w5_3,33782,99.53447259870359
w5_4,33782,99.53447259870359
w5_5,33782,99.53447259870359
w5_6,33782,99.53447259870359
w5_7,33782,99.53447259870359
w5_8,33782,99.53447259870359
w5_9,33782,99.53447259870359
w5_96,33782,99.53447259870359
w5_99,33782,99.53447259870359
m14_open,33838,99.69946965232764
v2_1,33864,99.77607542722451
v2_2,33864,99.77607542722451
v2_3,33864,99.77607542722451
v2_4,33864,99.77607542722451
v2_5,33864,99.77607542722451
v2_99,33864,99.77607542722451
v3,33864,99.77607542722451
ct1b_other,33865,99.77902180318209
ct6_other,33888,99.84678845020625
v3_other,33906,99.89982321744255
ct3_other,33908,99.90571596935769
m6_other,33916,99.92928697701828
ct5_other,33919,99.93812610489098
m8_other,33925,99.9558043606364
m12_other,33934,99.98232174425456
v3_open,33936,99.98821449616972
