RegionName,Date,H6M_Facial Coverings
Alabama,2020-05-14,3.0
Alaska,2020-07-12,3.0
Arizona,2020-07-02,3.0
Arkansas,2020-06-29,3.0
California,2020-04-19,3.0
Colorado,2020-07-29,3.0
Connecticut,2020-05-03,3.0
Delaware,2020-05-11,3.0
Florida,2020-04-26,3.0
Georgia,2021-09-13,3.0
Hawaii,2020-07-15,3.0
Idaho,2020-07-27,3.0
Illinois,2020-10-07,3.0
Indiana,2020-08-09,3.0
Iowa,2020-08-03,3.0
Kansas,2020-07-16,3.0
Kentucky,2020-07-23,3.0
Louisiana,2020-05-29,3.0
Maine,2020-11-17,3.0
Maryland,2020-08-13,3.0
Massachusetts,2020-04-30,3.0
Michigan,2020-07-30,3.0
Mississippi,2020-06-17,3.0
Missouri,2020-07-14,3.0
Montana,2020-07-09,3.0
Nevada,2020-07-07,3.0
New Hampshire,2020-12-03,3.0
New Jersey,2020-07-21,3.0
New Mexico,2020-05-28,3.0
New York,2020-04-30,3.0
North Carolina,2020-05-03,3.0
North Dakota,2020-11-01,3.0
Ohio,2020-07-21,3.0
Oklahoma,2020-07-20,3.0
Oregon,2020-07-07,3.0
Pennsylvania,2020-07-07,3.0
Rhode Island,2020-05-21,3.0
South Carolina,2020-07-09,3.0
Tennessee,2020-07-16,3.0
Texas,2020-04-26,3.0
Utah,2020-07-10,3.0
Vermont,2020-08-14,3.0
Virginia,2020-11-29,3.0
Washington,2020-07-09,3.0
Washington DC,2020-05-26,3.0
West Virginia,2020-11-26,3.0
Wisconsin,2020-07-29,3.0
