state,within_mandate_period,n,high_mask_n,high_mask_prop,period_label
Alabama,0,117,47,0.4017094017094017,Before/no sustained mandate
Alabama,1,427,260,0.6088992974238876,During sustained mandate
Alaska,0,37,19,0.5135135135135135,Before/no sustained mandate
Alaska,1,78,43,0.5512820512820513,During sustained mandate
Arizona,0,254,117,0.46062992125984253,Before/no sustained mandate
Arizona,1,488,262,0.5368852459016393,During sustained mandate
Arkansas,0,91,35,0.38461538461538464,Before/no sustained mandate
Arkansas,1,198,126,0.6363636363636364,During sustained mandate
California,0,376,203,0.5398936170212766,Before/no sustained mandate
California,1,2791,2043,0.7319957004657829,During sustained mandate
Colorado,0,209,142,0.6794258373205742,Before/no sustained mandate
Colorado,1,346,207,0.5982658959537572,During sustained mandate
Connecticut,0,57,27,0.47368421052631576,Before/no sustained mandate
Connecticut,1,273,194,0.7106227106227107,During sustained mandate
Delaware,0,21,9,0.42857142857142855,Before/no sustained mandate
Delaware,1,106,79,0.7452830188679245,During sustained mandate
District of Columbia,0,32,21,0.65625,Before/no sustained mandate
District of Columbia,1,85,73,0.8588235294117647,During sustained mandate
Florida,0,348,159,0.45689655172413796,Before/no sustained mandate
Florida,1,2080,1412,0.6788461538461539,During sustained mandate
Georgia,0,1009,675,0.6689791873141725,Before/no sustained mandate
Georgia,1,71,46,0.647887323943662,During sustained mandate
Hawaii,0,37,30,0.8108108108108109,Before/no sustained mandate
Hawaii,1,68,54,0.7941176470588235,During sustained mandate
Idaho,0,81,29,0.35802469135802467,Before/no sustained mandate
Idaho,1,106,53,0.5,During sustained mandate
Illinois,0,609,418,0.6863711001642037,Before/no sustained mandate
Illinois,1,656,437,0.6661585365853658,During sustained mandate
Indiana,0,259,155,0.5984555984555985,Before/no sustained mandate
Indiana,1,389,232,0.596401028277635,During sustained mandate
Iowa,0,93,44,0.4731182795698925,Before/no sustained mandate
Iowa,1,225,123,0.5466666666666666,During sustained mandate
Kansas,0,83,33,0.39759036144578314,Before/no sustained mandate
Kansas,1,127,75,0.5905511811023622,During sustained mandate
Kentucky,0,194,97,0.5,Before/no sustained mandate
Kentucky,1,344,207,0.6017441860465116,During sustained mandate
Louisiana,0,66,32,0.48484848484848486,Before/no sustained mandate
Louisiana,1,271,190,0.7011070110701108,During sustained mandate
