state,before_or_no_mandate_prop,during_mandate_prop,before_or_no_mandate_n,during_mandate_n,has_sustained_mandate,proportional_change_pct
Colorado,0.6794258373205742,0.5982658959537572,209.0,346.0,True,-11.945371651876576
Vermont,0.7333333333333333,0.6666666666666666,30.0,57.0,True,-9.09090909090909
Pennsylvania,0.6727941176470589,0.6214421252371917,544.0,1054.0,True,-7.6326458663846335
Rhode Island,0.7142857142857143,0.6703296703296703,21.0,91.0,True,-6.153846153846163
New Jersey,0.7405405405405405,0.7039473684210527,370.0,608.0,True,-4.941413753361501
West Virginia,0.6146788990825688,0.594059405940594,109.0,101.0,True,-3.3545145559332066
Maryland,0.7428571428571429,0.7192982456140351,210.0,285.0,True,-3.171390013495278
Georgia,0.6689791873141725,0.647887323943662,1009.0,71.0,True,-3.1528429838289025
Illinois,0.6863711001642037,0.6661585365853658,609.0,656.0,True,-2.9448447893569942
Maine,0.6144578313253012,0.5977011494252874,83.0,87.0,True,-2.727067838629694
Michigan,0.6172839506172839,0.6030245746691871,324.0,529.0,True,-2.3100189035916796
Hawaii,0.8108108108108109,0.7941176470588235,37.0,68.0,True,-2.0588235294117756
Utah,0.5679012345679012,0.559322033898305,81.0,177.0,True,-1.5106853352984553
Indiana,0.5984555984555985,0.596401028277635,259.0,389.0,True,-0.3433120490919673
New Hampshire,0.5975609756097561,0.6105263157894737,82.0,95.0,True,2.1697099892588674
New Mexico,0.54,0.5619834710743802,50.0,121.0,True,4.071013161922249
Virginia,0.6353711790393013,0.6686390532544378,458.0,507.0,True,5.235974704650357
Alaska,0.5135135135135135,0.5512820512820513,37.0,78.0,True,7.354925775978422
Iowa,0.4731182795698925,0.5466666666666666,93.0,225.0,True,15.545454545454533
Arizona,0.46062992125984253,0.5368852459016393,254.0,488.0,True,16.554574751296055
Tennessee,0.46956521739130436,0.5545243619489559,230.0,431.0,True,18.093151155796168
Washington,0.5605381165919282,0.6646090534979424,223.0,486.0,True,18.566255144032937
Missouri,0.48058252427184467,0.574468085106383,206.0,423.0,True,19.53578336557061
Kentucky,0.5,0.6017441860465116,194.0,344.0,True,20.348837209302317
New York,0.6094674556213018,0.7380008806693087,338.0,2271.0,True,21.08946488651764
Nevada,0.5714285714285714,0.6954887218045113,119.0,266.0,True,21.710526315789476
South Carolina,0.5,0.6149068322981367,174.0,322.0,True,22.98136645962734
Ohio,0.4885844748858447,0.6037735849056604,438.0,795.0,True,23.576088873214605
Wisconsin,0.44206008583690987,0.5746268656716418,233.0,402.0,True,29.98840747717722
District of Columbia,0.65625,0.8588235294117647,32.0,85.0,True,30.868347338935564
California,0.5398936170212766,0.7319957004657829,376.0,2791.0,True,35.58146964292334
Oklahoma,0.38461538461538464,0.5246636771300448,104.0,223.0,True,36.41255605381164
Oregon,0.5029940119760479,0.6876876876876877,167.0,333.0,True,36.71886171886173
Idaho,0.35802469135802467,0.5,81.0,106.0,True,39.65517241379311
Louisiana,0.48484848484848486,0.7011070110701108,66.0,271.0,True,44.60332103321034
Mississippi,0.4576271186440678,0.6666666666666666,59.0,189.0,True,45.679012345679006
Kansas,0.39759036144578314,0.5905511811023622,83.0,127.0,True,48.5325697924123
Florida,0.45689655172413796,0.6788461538461539,348.0,2080.0,True,48.57764876632801
Connecticut,0.47368421052631576,0.7106227106227107,57.0,273.0,True,50.02035002035004
Alabama,0.4017094017094017,0.6088992974238876,117.0,427.0,True,51.57705914594648
North Dakota,0.32,0.4883720930232558,25.0,43.0,True,52.61627906976744
Texas,0.42329545454545453,0.6661384046487058,352.0,1893.0,True,57.369609688821775
Massachusetts,0.45555555555555555,0.724202626641651,90.0,533.0,True,58.97130828719169
Arkansas,0.38461538461538464,0.6363636363636364,91.0,198.0,True,65.45454545454544
Delaware,0.42857142857142855,0.7452830188679245,21.0,106.0,True,73.89937106918238
North Carolina,0.391304347826087,0.6859060402684564,161.0,745.0,True,75.28709917971662
Montana,0.15384615384615385,0.5,39.0,98.0,True,225.0
Minnesota,0.4828828828828829,,555.0,,False,
Nebraska,0.5542857142857143,,175.0,,False,
South Dakota,0.36486486486486486,,74.0,,False,
Wyoming,0.417910447761194,,67.0,,False,
